,cust_identifier,tstamp,country_code,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10
8JNM#AR#2021-02-17T16:50:02Z,8JNM,2021-02-17T16:50:02Z,AR,4211696,3363417,4182369,5577654,5934628,354630,5924861,1015158,6702160,7513420
8NAL#AR#2021-02-17T11:18:12Z,8NAL,2021-02-17T11:18:12Z,AR,3074535,9223032,7681004,5998520,6414001,6616605,1122136,9566744,3488577,7797455
8IS8#AR#2021-02-17T23:59:41Z,8IS8,2021-02-17T23:59:41Z,AR,306309,671119,137551,73178,3198698,7140633,3321103,109047,3801066,1443284
8KYT#AR#2021-02-17T07:10:26Z,8KYT,2021-02-17T07:10:26Z,AR,9494408,1194923,5566530,6038553,1892879,5996956,5086710,5084037,4641662,2203036
8JT6#AR#2021-02-17T09:12:19Z,8JT6,2021-02-17T09:12:19Z,AR,8497463,2671855,3523865,3551938,7538592,6957648,9770243,7380459,3117137,6954566
8OA6#AR#2021-02-17T17:42:14Z,8OA6,2021-02-17T17:42:14Z,AR,7147999,8732665,9376405,7950112,6230274,9127756,4012281,8758883,3702904,9357958
8R95#AR#2021-02-17T15:29:02Z,8R95,2021-02-17T15:29:02Z,AR,5158859,7828427,7079107,9696003,1358280,3799289,2835253,3096475,3826353,8829746
8TET#AR#2021-02-17T02:37:43Z,8TET,2021-02-17T02:37:43Z,AR,6868996,5377661,556008,1951499,7143650,5499931,4201850,3473888,985339,1535361
8UR7#AR#2021-02-17T16:42:11Z,8UR7,2021-02-17T16:42:11Z,AR,3925573,6782546,6259208,7212301,3256945,5310515,3140163,4297909,7081974,2589176
8V76#AR#2021-02-17T11:05:44Z,8V76,2021-02-17T11:05:44Z,AR,3904499,1082375,421183,3897102,4893088,5510508,294742,2059276,2074581,7399039
8S66#AR#2021-02-17T08:56:03Z,8S66,2021-02-17T08:56:03Z,AR,1696588,3642279,1278636,2525458,6751510,9936782,8603480,449371,4065521,2098720
8SU6#AR#2021-02-17T05:10:18Z,8SU6,2021-02-17T05:10:18Z,AR,7868074,5852241,4021982,2570797,4399940,9939068,405152,1947057,1712493,2846219
8UGU#AR#2021-02-17T12:11:51Z,8UGU,2021-02-17T12:11:51Z,AR,598387,5658893,2671683,9109552,410384,7638730,2049670,7766599,5462055,9101170
8S2A#AR#2021-02-17T18:10:21Z,8S2A,2021-02-17T18:10:21Z,AR,5248031,4260866,3788601,4051767,5483276,4301999,3591680,3667130,211679,599899
8S6I#AR#2021-02-17T13:12:36Z,8S6I,2021-02-17T13:12:36Z,AR,6510886,2528822,4836099,7916090,4528896,5115150,2353705,9369859,9623249,4859871
8V22#AR#2021-02-17T11:51:20Z,8V22,2021-02-17T11:51:20Z,AR,1128833,1892772,7653235,1890642,3650214,3285144,1461120,6718053,4602935,2367212
8P5K#AR#2021-02-17T06:11:32Z,8P5K,2021-02-17T06:11:32Z,AR,4654318,3278295,8504521,1029976,2475163,9328307,3451173,2015257,8642170,9762232
8R54#AR#2021-02-17T03:27:38Z,8R54,2021-02-17T03:27:38Z,AR,414420,9049046,5159864,8263534,9107993,9735681,8215189,7395437,1855364,5290681
8OOZ#AR#2021-02-17T20:06:08Z,8OOZ,2021-02-17T20:06:08Z,AR,6987241,9439315,9852980,2851186,4989712,8625652,5567737,1997396,2369388,4216802
8Q5G#AR#2021-02-17T19:11:09Z,8Q5G,2021-02-17T19:11:09Z,AR,2811395,3388478,5640712,2379914,8027241,5565968,858374,2971927,5035682,5762237
8U9A#AR#2021-02-17T17:19:29Z,8U9A,2021-02-17T17:19:29Z,AR,2601356,7673458,4361916,3920559,7107850,7769551,291738,2091189,5686695,9416418
8S1U#AR#2021-02-17T17:34:40Z,8S1U,2021-02-17T17:34:40Z,AR,2777468,2529043,2457321,7979456,577049,4838266,212313,2972750,474462,3563676
8R9S#AR#2021-02-17T03:16:58Z,8R9S,2021-02-17T03:16:58Z,AR,9771236,2584602,1400642,6837971,9744115,5275169,9634898,5895040,9038331,7410305
8U7F#AR#2021-02-17T10:36:13Z,8U7F,2021-02-17T10:36:13Z,AR,7519785,2653490,9637684,9591768,8137251,6167312,5923635,2062389,7998328,2664078
8UZ9#AR#2021-02-17T11:01:14Z,8UZ9,2021-02-17T11:01:14Z,AR,8583974,5107092,4852951,654298,3801106,4046823,2543305,1257977,6249457,4296193
8S2S#AR#2021-02-17T20:56:19Z,8S2S,2021-02-17T20:56:19Z,AR,4653434,5501033,7632894,3651309,9601627,622358,7311989,7436977,9656248,9559119
8RZD#AR#2021-02-17T13:22:18Z,8RZD,2021-02-17T13:22:18Z,AR,5597234,5298113,263879,7924207,4378898,6073387,7509114,127667,1393917,1072845
8UG5#AR#2021-02-17T05:57:04Z,8UG5,2021-02-17T05:57:04Z,AR,297405,3811811,9417982,5367548,160978,2075684,955534,6878134,931514,7110962
8Y8M#AR#2021-02-17T16:49:11Z,8Y8M,2021-02-17T16:49:11Z,AR,7003693,1346815,3516092,6809761,9319125,585345,1531457,347925,7105617,9227013
8Y1T#AR#2021-02-17T01:22:54Z,8Y1T,2021-02-17T01:22:54Z,AR,5901626,6450797,5037429,6135294,7787052,7139099,4108446,4007427,4072727,7275977
90D0#AR#2021-02-17T18:47:56Z,90D0,2021-02-17T18:47:56Z,AR,9666124,3880782,5089077,5951253,6915607,4963894,2807302,2003266,3483200,5609297
8X9U#AR#2021-02-17T16:24:15Z,8X9U,2021-02-17T16:24:15Z,AR,3432283,7037890,6025271,677164,6225553,1938649,3892648,8673910,7670917,1328672
8ZMK#AR#2021-02-17T12:34:01Z,8ZMK,2021-02-17T12:34:01Z,AR,9469278,7068679,5262848,6625070,1145399,9029413,1226918,9801862,9531531,6216206
901C#AR#2021-02-17T13:48:00Z,901C,2021-02-17T13:48:00Z,AR,1181829,7402679,9659541,9162379,8988921,8035377,9442734,76488,7609468,6625304
8W25#AR#2021-02-17T16:42:38Z,8W25,2021-02-17T16:42:38Z,AR,602029,2385466,1791486,5507245,3883949,9342839,3463058,9666588,6169543,495060
9078#AR#2021-02-17T09:23:44Z,9078,2021-02-17T09:23:44Z,AR,5912754,32951,7104062,9285300,7227226,5697983,3522010,427437,3545486,6606273
904R#AR#2021-02-17T11:01:49Z,904R,2021-02-17T11:01:49Z,AR,115894,8615919,6307724,3160646,2880894,5112425,3285160,3631512,1663475,865526
8Z05#AR#2021-02-17T16:03:01Z,8Z05,2021-02-17T16:03:01Z,AR,90301,655411,5924511,1276275,8514376,6845707,462303,5840471,1408862,508824
8Z45#AR#2021-02-17T07:47:27Z,8Z45,2021-02-17T07:47:27Z,AR,3944145,5689984,9639533,4450766,5882989,2676094,4368218,7841249,3324724,1191974
8X69#AR#2021-02-17T06:24:39Z,8X69,2021-02-17T06:24:39Z,AR,1600476,2603530,5477023,896255,3924457,8834063,8910597,3554699,912897,1561743
8W6L#AR#2021-02-17T00:29:05Z,8W6L,2021-02-17T00:29:05Z,AR,535542,7360103,693363,3288008,5148227,6944621,5695006,3508427,9706177,302743
92K5#AR#2021-02-17T23:23:00Z,92K5,2021-02-17T23:23:00Z,AR,9692096,6405502,7613262,7889855,8544037,46905,9051070,8010174,8034302,6683662
91OD#AR#2021-02-17T09:26:29Z,91OD,2021-02-17T09:26:29Z,AR,6283691,4966887,6178815,6890910,5379989,9693566,3050194,2541767,2878714,8792858
92Q8#AR#2021-02-17T15:21:45Z,92Q8,2021-02-17T15:21:45Z,AR,2372436,3290171,7208408,7338191,5682980,8845299,4378630,8729684,6072658,5601827
9221#AR#2021-02-17T08:08:00Z,9221,2021-02-17T08:08:00Z,AR,5136612,9984338,8449838,5543529,4200004,2538729,8864555,4610994,5858274,3789352
9370#AR#2021-02-17T00:45:37Z,9370,2021-02-17T00:45:37Z,AR,189688,2665883,8899266,4941778,9205538,5196279,8857955,3772245,8857320,8275087
92G6#AR#2021-02-17T20:37:53Z,92G6,2021-02-17T20:37:53Z,AR,7007643,1928343,4518612,1749927,8395461,2539233,6952644,1735482,1659214,3479233
925K#AR#2021-02-17T19:35:21Z,925K,2021-02-17T19:35:21Z,AR,9938663,7235885,6925819,2793091,581221,9394654,8460503,2087472,2814217,1791195
8WT1#AR#2021-02-17T14:32:44Z,8WT1,2021-02-17T14:32:44Z,AR,8977416,910887,9840376,4857733,2857907,1943111,9039654,7680892,6774829,4939172
8Y6F#AR#2021-02-17T15:46:23Z,8Y6F,2021-02-17T15:46:23Z,AR,5725964,838413,6370953,344809,2859060,8739346,8842256,1339023,30855,4155848
90N0#AR#2021-02-17T14:01:17Z,90N0,2021-02-17T14:01:17Z,AR,9937950,9885025,7290486,8373148,9442855,5009614,9455026,6104579,817295,2783573
90C5#AR#2021-02-17T15:08:50Z,90C5,2021-02-17T15:08:50Z,AR,8373319,8993245,1056860,6085735,7223460,8542414,2070261,7088823,2536079,9936496
8W2B#AR#2021-02-17T15:49:17Z,8W2B,2021-02-17T15:49:17Z,AR,5207457,9864635,9481213,2937251,9062805,4021733,5214645,7835497,442374,6861850
90G4#AR#2021-02-17T11:29:55Z,90G4,2021-02-17T11:29:55Z,AR,497063,2959248,94471,886843,3401728,2830869,442659,3951869,1159575,3662645
90AZ#AR#2021-02-17T21:54:01Z,90AZ,2021-02-17T21:54:01Z,AR,7376063,1934334,3501384,8629180,712818,1200855,1406508,8024376,5470932,572607
8Z51#AR#2021-02-17T17:59:28Z,8Z51,2021-02-17T17:59:28Z,AR,4564185,4095018,4613253,7859858,3938887,6762927,8202656,8054786,6705548,1771796
8XJB#AR#2021-02-17T02:19:52Z,8XJB,2021-02-17T02:19:52Z,AR,5086975,9545579,1197860,1240390,6663186,1412601,1179602,6003616,163836,6253184
91OX#AR#2021-02-17T15:54:03Z,91OX,2021-02-17T15:54:03Z,AR,5196378,1303111,7480474,8976044,4512388,6184266,1192160,7295864,9887646,9651972
91JW#AR#2021-02-17T00:04:34Z,91JW,2021-02-17T00:04:34Z,AR,251851,5474734,1414373,8235351,1680144,3925503,1221530,8001364,473287,2555205
93NA#AR#2021-02-17T14:36:56Z,93NA,2021-02-17T14:36:56Z,AR,438153,4337584,2419591,6368842,8396929,2100120,8788922,1639339,4479213,790089
91RK#AR#2021-02-17T02:52:01Z,91RK,2021-02-17T02:52:01Z,AR,6251105,955564,6742098,2322570,6002624,9429937,8678609,3550126,4656028,8691275
93U4#AR#2021-02-17T06:31:38Z,93U4,2021-02-17T06:31:38Z,AR,8987764,108975,4795408,6626631,4675015,6740282,3101838,8831957,3502947,9625685
91HM#AR#2021-02-17T23:11:47Z,91HM,2021-02-17T23:11:47Z,AR,1197200,1141793,1547595,1937270,8761255,6764261,5239665,1894362,8813071,3108460
92PN#AR#2021-02-17T20:50:22Z,92PN,2021-02-17T20:50:22Z,AR,2170379,2322347,3837758,1626078,4329181,9272037,8397068,3914407,7408992,5335434
9200#AR#2021-02-17T14:42:08Z,9200,2021-02-17T14:42:08Z,AR,5389060,8667643,6265857,2492998,4003165,3801019,169667,1750959,8893795,6679457
9187#AR#2021-02-17T04:08:42Z,9187,2021-02-17T04:08:42Z,AR,5147125,5988792,49409,3630931,3302952,6969965,22293,3972875,9295903,5374121
9309#AR#2021-02-17T19:47:29Z,9309,2021-02-17T19:47:29Z,AR,4491311,1520210,9576514,6487798,6580375,1285712,4791822,4691168,4454314,9096361
92R6#AR#2021-02-17T11:51:46Z,92R6,2021-02-17T11:51:46Z,AR,3787245,3099043,8109640,7419875,9778816,7945033,8581951,6779845,9434479,5885875
920T#AR#2021-02-17T22:27:29Z,920T,2021-02-17T22:27:29Z,AR,5326225,9312631,4878278,7720247,3371889,1279156,3775886,6087182,830315,4259763
92U0#AR#2021-02-17T05:26:45Z,92U0,2021-02-17T05:26:45Z,AR,670034,6813818,5304395,9329884,208185,59825,7848785,8428915,6718270,2164151
92JP#AR#2021-02-17T10:59:12Z,92JP,2021-02-17T10:59:12Z,AR,7110370,5141442,6780154,4484361,4464947,2822100,2204615,7872881,8449148,3370186
916W#AR#2021-02-17T12:47:40Z,916W,2021-02-17T12:47:40Z,AR,1408532,2063760,2411541,250109,6632459,5403793,6292699,8985665,4809384,7085269
93NG#AR#2021-02-17T05:54:06Z,93NG,2021-02-17T05:54:06Z,AR,7879130,4388041,956183,3890381,5445471,994677,3337025,865718,6821402,1844965
91F7#AR#2021-02-17T22:01:39Z,91F7,2021-02-17T22:01:39Z,AR,860206,3410827,9832248,957512,7560251,2467763,2566742,7939502,2628332,1639662
91XU#AR#2021-02-17T21:17:57Z,91XU,2021-02-17T21:17:57Z,AR,5992279,9201191,3428719,1831713,5804271,7403693,6012843,3589087,7814921,9089782
90U5#AR#2021-02-17T05:07:45Z,90U5,2021-02-17T05:07:45Z,AR,419586,3056901,3292396,8902740,9916861,2286859,1578334,648761,4207667,8717733
8WPG#AR#2021-02-17T16:07:43Z,8WPG,2021-02-17T16:07:43Z,AR,4847385,8257407,2892539,1428606,1577192,4222536,510648,5305184,4609836,7969110
8X50#AR#2021-02-17T11:39:03Z,8X50,2021-02-17T11:39:03Z,AR,8553501,6079387,4431,5726926,3708251,61959,9757450,8098899,6860752,4107346
8XB4#AR#2021-02-17T10:18:47Z,8XB4,2021-02-17T10:18:47Z,AR,3491876,249787,7848267,1683633,8487522,2789715,7429725,5456218,6565824,1848941
8Y9P#AR#2021-02-17T14:48:42Z,8Y9P,2021-02-17T14:48:42Z,AR,5902386,5780457,3982480,3565102,9943477,8827608,6187793,671217,9378909,6410464
9098#AR#2021-02-17T18:24:01Z,9098,2021-02-17T18:24:01Z,AR,3114580,5645263,496689,6190515,8828215,6020269,9408794,5275881,1324540,9202711
8XDJ#AR#2021-02-17T05:17:34Z,8XDJ,2021-02-17T05:17:34Z,AR,365658,6826999,8215547,5873591,3506718,3124381,5459918,7651865,5355847,4631506
8X3L#AR#2021-02-17T09:40:31Z,8X3L,2021-02-17T09:40:31Z,AR,6702428,9627330,1152681,97072,4429049,1877169,200649,5907984,2830387,3467613
8ZQ9#AR#2021-02-17T23:42:41Z,8ZQ9,2021-02-17T23:42:41Z,AR,3252834,9715829,2688391,6161867,2974330,1244281,2204750,7340929,8650886,9623989
8W4A#AR#2021-02-17T23:36:03Z,8W4A,2021-02-17T23:36:03Z,AR,7151466,5168039,2175674,323307,4521058,4155373,869271,7692475,1726936,3568182
90H1#AR#2021-02-17T15:02:58Z,90H1,2021-02-17T15:02:58Z,AR,5008770,3791326,6437339,913746,3193195,1315343,4555834,3807719,8286154,1850672
8X14#AR#2021-02-17T02:18:38Z,8X14,2021-02-17T02:18:38Z,AR,4034969,5750016,8939686,4206190,2885864,4641185,8190098,9169004,9749264,5509455
8YUW#AR#2021-02-17T22:43:06Z,8YUW,2021-02-17T22:43:06Z,AR,3171773,5249951,9459346,8718976,5417731,9145116,7554289,3437877,4125154,1299230
8W79#AR#2021-02-17T07:07:41Z,8W79,2021-02-17T07:07:41Z,AR,370627,6848627,3708112,7231587,6414182,3487419,4452263,504435,7941832,6809215
9029#AR#2021-02-17T11:16:49Z,9029,2021-02-17T11:16:49Z,AR,8658139,8937227,169090,5355065,520653,8692198,7892454,9827525,3972036,2920544
8XB7#AR#2021-02-17T11:05:17Z,8XB7,2021-02-17T11:05:17Z,AR,500188,3638100,9588925,2417465,9846178,8536470,4734472,8922574,1563852,9982257
911U#AR#2021-02-17T00:25:00Z,911U,2021-02-17T00:25:00Z,AR,5733602,4739919,6641736,1364055,1471521,6511343,9482650,2740308,7784017,3927477
8Y8I#AR#2021-02-17T10:54:56Z,8Y8I,2021-02-17T10:54:56Z,AR,8843253,434645,4004300,7169101,9648862,8152756,2709438,4387084,5238557,613228
90DT#AR#2021-02-17T23:09:00Z,90DT,2021-02-17T23:09:00Z,AR,9615612,6383912,807507,5298574,2757356,211206,6432506,5927595,5469010,2162453
9340#AR#2021-02-17T05:19:55Z,9340,2021-02-17T05:19:55Z,AR,2236439,8437013,9448858,9212750,7412037,9074074,6459543,2800443,3640634,5835527
9338#AR#2021-02-17T03:02:31Z,9338,2021-02-17T03:02:31Z,AR,6908698,4842619,85970,3174538,2694256,1365937,8273105,5071925,4329828,9411087
92R5#AR#2021-02-17T07:43:30Z,92R5,2021-02-17T07:43:30Z,AR,7619981,2588963,7093872,1904653,4747807,4706073,6201572,9660405,8597550,4747841
9310#AR#2021-02-17T01:58:31Z,9310,2021-02-17T01:58:31Z,AR,4069352,5637963,4322398,1199167,7218460,5372060,9951540,3392276,1070989,7982422
91QJ#AR#2021-02-17T10:00:51Z,91QJ,2021-02-17T10:00:51Z,AR,9396579,138258,2216218,5576761,4006448,8748943,6808854,3239598,1204045,1028705
93GC#AR#2021-02-17T01:17:06Z,93GC,2021-02-17T01:17:06Z,AR,2347422,6247379,2740317,3353954,639007,2448089,7755632,1022852,5882319,3674217
91LK#AR#2021-02-17T15:40:28Z,91LK,2021-02-17T15:40:28Z,AR,491631,4088169,6352240,5722317,8481210,2707620,9933885,6335560,2711284,4994161
9366#AR#2021-02-17T20:00:44Z,9366,2021-02-17T20:00:44Z,AR,852933,9284252,3973827,3656859,6397986,6310415,219379,4837416,8969525,3527613
92D0#AR#2021-02-17T13:25:46Z,92D0,2021-02-17T13:25:46Z,AR,9385861,4376375,2281918,5411456,2397439,6190056,5206959,1623148,7565845,2224853
91#AR#2021-02-17T07:48:17Z,9.10E+01,2021-02-17T07:48:17Z,AR,1181951,6446319,2154120,5966587,2539712,2854959,8560505,2946558,2246810,6905562
91LG#AR#2021-02-17T08:11:17Z,91LG,2021-02-17T08:11:17Z,AR,8197922,4904714,3440477,333880,8616911,8541082,9429081,4385736,2995087,5016028
92X7#AR#2021-02-17T16:15:12Z,92X7,2021-02-17T16:15:12Z,AR,150511,7932156,6696744,7646399,5086809,6507587,2746684,4732145,2017926,8477669
92HS#AR#2021-02-17T10:50:53Z,92HS,2021-02-17T10:50:53Z,AR,9860840,7358313,2765181,2513235,6345962,974162,5376062,9165550,6853137,35315
9206#AR#2021-02-17T01:50:57Z,9206,2021-02-17T01:50:57Z,AR,7172465,2697707,9409931,4305863,4201263,6787949,4837514,5994299,7684121,7307005
8Y4P#AR#2021-02-17T06:07:46Z,8Y4P,2021-02-17T06:07:46Z,AR,5125671,5651772,1180316,6236009,4082138,4462702,376451,8234824,2613251,3511468
8XRH#AR#2021-02-17T09:33:23Z,8XRH,2021-02-17T09:33:23Z,AR,324688,2591989,7923666,1268787,2581604,2726058,4883826,8988232,8859369,3091540
9003#AR#2021-02-17T15:00:08Z,9003,2021-02-17T15:00:08Z,AR,7641430,1515531,5699490,3325948,650773,4494384,2346286,2558168,3034908,8535339
905O#AR#2021-02-17T18:21:42Z,905O,2021-02-17T18:21:42Z,AR,2716505,2301500,3834145,4333702,2028181,3294533,9272313,2042857,5836738,4214736
8WO5#AR#2021-02-17T23:31:10Z,8WO5,2021-02-17T23:31:10Z,AR,3222136,2008159,8433448,6719836,5025493,2822494,2365805,3951546,4673513,9340096
8ZM8#AR#2021-02-17T12:19:22Z,8ZM8,2021-02-17T12:19:22Z,AR,7923329,9286026,6739715,3419350,9970993,7142822,3254387,5983284,8174700,6584102
8Y38#AR#2021-02-17T22:03:54Z,8Y38,2021-02-17T22:03:54Z,AR,2737547,1221673,5523320,8655421,755140,5033343,3046553,9687979,6476215,5075328
8XRC#AR#2021-02-17T05:38:56Z,8XRC,2021-02-17T05:38:56Z,AR,2753208,9007048,9105004,3744670,2987087,3327400,3554418,9181769,8367025,2887898
90EE#AR#2021-02-17T15:32:52Z,90EE,2021-02-17T15:32:52Z,AR,9696954,5066093,7203739,6305053,867263,6354946,278867,4506071,3437446,4338495
8YSR#AR#2021-02-17T10:26:00Z,8YSR,2021-02-17T10:26:00Z,AR,3996876,2470839,6891450,7107822,2574266,2085517,5035024,9338920,2117094,9975473
902E#AR#2021-02-17T10:26:52Z,902E,2021-02-17T10:26:52Z,AR,4208336,8679895,8340420,9116550,6585963,333884,7658133,156648,9081516,5390662
8W22#AR#2021-02-17T17:00:25Z,8W22,2021-02-17T17:00:25Z,AR,7727571,1569759,5737638,5491340,7901827,9449259,6134466,9556192,9143922,5587739
93I6#AR#2021-02-17T01:17:21Z,93I6,2021-02-17T01:17:21Z,AR,1794687,3950841,5200037,7068613,1053568,8959290,1531123,6666481,620460,3827232
93IQ#AR#2021-02-17T03:50:35Z,93IQ,2021-02-17T03:50:35Z,AR,7987544,8524565,7991148,7398127,4730812,947009,1382783,2113849,4493474,1135700
924Q#AR#2021-02-17T01:31:04Z,924Q,2021-02-17T01:31:04Z,AR,7692568,285275,6605612,9537697,4970384,2612361,5345522,3139310,3438733,7277440
91P8#AR#2021-02-17T14:23:07Z,91P8,2021-02-17T14:23:07Z,AR,3595228,7649628,7373931,7692843,6477638,8467704,5147244,4452252,9146696,76210
91U7#AR#2021-02-17T03:40:30Z,91U7,2021-02-17T03:40:30Z,AR,463688,4613648,5715564,4321417,6842226,587689,7173712,2669355,5710847,5299125
911Z#AR#2021-02-17T18:39:51Z,911Z,2021-02-17T18:39:51Z,AR,2687005,3867023,3368973,5329434,1627488,3002100,4749468,1437072,6141990,1353152
92F6#AR#2021-02-17T15:31:26Z,92F6,2021-02-17T15:31:26Z,AR,4854658,3820425,3455018,4667817,3425301,8919116,1146999,5992915,7964065,50112
91QC#AR#2021-02-17T04:27:41Z,91QC,2021-02-17T04:27:41Z,AR,9875429,8348578,8853618,967724,4175577,4284696,8559817,9232995,3566354,8110024
92JO#AR#2021-02-17T01:44:24Z,92JO,2021-02-17T01:44:24Z,AR,180752,7165216,6468469,5007299,4922519,6875511,9716252,8332723,6076541,1153508
92G0#AR#2021-02-17T12:39:08Z,92G0,2021-02-17T12:39:08Z,AR,8753944,4529468,5240845,6828689,7819291,1701686,1754956,3263813,5850904,8447976
9297#AR#2021-02-17T18:34:43Z,9297,2021-02-17T18:34:43Z,AR,4202940,1943860,6189455,4114198,8480401,8720665,3190154,799247,7943055,4558332
90I9#AR#2021-02-17T15:12:45Z,90I9,2021-02-17T15:12:45Z,AR,7523337,9592430,7133708,8987904,6527788,1541113,3047688,2119964,2770948,1342715
9066#AR#2021-02-17T21:28:57Z,9066,2021-02-17T21:28:57Z,AR,5172249,612468,6568149,3425868,7266386,6171483,5278640,1011467,1604563,6181174
90U4#AR#2021-02-17T01:59:23Z,90U4,2021-02-17T01:59:23Z,AR,8751907,6760172,9397605,9152934,8950851,398181,8562590,8050434,4313426,5889894
8Y2F#AR#2021-02-17T01:22:32Z,8Y2F,2021-02-17T01:22:32Z,AR,4747575,6076820,1655549,2458039,9717099,5559468,8939050,7125983,4827731,2710070
8X49#AR#2021-02-17T23:59:34Z,8X49,2021-02-17T23:59:34Z,AR,8789845,7910749,5485399,2107224,1040356,9249047,7537460,1981948,1902080,4335772
8YFY#AR#2021-02-17T03:32:13Z,8YFY,2021-02-17T03:32:13Z,AR,1144153,3310940,1381543,5007179,1504016,1366976,8253949,8296627,9463804,42379
910Y#AR#2021-02-17T20:45:30Z,910Y,2021-02-17T20:45:30Z,AR,5774693,4845904,83466,4127164,5674017,7248940,7072145,5683905,4451831,6441949
8XCR#AR#2021-02-17T16:15:53Z,8XCR,2021-02-17T16:15:53Z,AR,6646910,3844026,4232909,420940,2084781,3910572,9208201,7010553,9362908,5552185
8YQN#AR#2021-02-17T21:48:55Z,8YQN,2021-02-17T21:48:55Z,AR,7184513,8557201,5944407,5887197,6983906,2145988,258006,9631260,771858,499088
8ZU0#AR#2021-02-17T08:47:56Z,8ZU0,2021-02-17T08:47:56Z,AR,8182438,3687281,1116789,9667564,3244734,7786908,1891275,791336,8509343,9323871
8YNP#AR#2021-02-17T19:29:34Z,8YNP,2021-02-17T19:29:34Z,AR,6778796,9841180,6006629,1892771,7591396,9495027,3578451,9490120,9392504,1616035
9011#AR#2021-02-17T23:03:50Z,9011,2021-02-17T23:03:50Z,AR,8522157,7188836,5767876,4403721,722802,5303086,2321479,4859038,4837094,8682515
8X21#AR#2021-02-17T15:26:34Z,8X21,2021-02-17T15:26:34Z,AR,4173767,6521213,9980437,5575594,5185704,4714105,218534,9603395,9108099,9776863
90QQ#AR#2021-02-17T12:31:49Z,90QQ,2021-02-17T12:31:49Z,AR,2789873,3747419,5388578,5047430,4847308,3486588,2076327,9735318,9344505,8814644
93RL#AR#2021-02-17T20:47:19Z,93RL,2021-02-17T20:47:19Z,AR,3823683,505320,8720169,7420583,9958097,7846103,9265771,2844744,9638978,6525454
91R7#AR#2021-02-17T13:48:41Z,91R7,2021-02-17T13:48:41Z,AR,5313523,3961491,131219,6851924,5673775,6462121,4643619,4087930,2450210,6455854
926N#AR#2021-02-17T20:48:47Z,926N,2021-02-17T20:48:47Z,AR,185070,573714,9649534,7735024,8716857,2567618,5271215,6299285,3346433,6905963
93RY#AR#2021-02-17T14:50:12Z,93RY,2021-02-17T14:50:12Z,AR,825607,9534378,7763038,9820039,9717190,7995111,8194179,2477291,280608,9677419
93CV#AR#2021-02-17T17:49:02Z,93CV,2021-02-17T17:49:02Z,AR,3497528,2524086,4032637,6421901,773413,6079221,7962053,1532663,5745961,7544199
91UV#AR#2021-02-17T05:56:55Z,91UV,2021-02-17T05:56:55Z,AR,9194748,3020923,7811281,233392,5291150,9189860,2270462,913755,233282,8940937
91DX#AR#2021-02-17T13:13:18Z,91DX,2021-02-17T13:13:18Z,AR,6264762,7498159,6381720,5083750,11531,1846256,4202041,4662462,3261146,2099595
9236#AR#2021-02-17T07:34:37Z,9236,2021-02-17T07:34:37Z,AR,6625038,860768,6021170,6634952,8913700,7225374,7071627,3963970,16249,9106081
92IW#AR#2021-02-17T19:32:25Z,92IW,2021-02-17T19:32:25Z,AR,2570076,1055265,3932050,820612,4099296,6763539,7651755,5139153,8161938,8966319
92KF#AR#2021-02-17T04:16:33Z,92KF,2021-02-17T04:16:33Z,AR,7570981,6912764,708099,9739754,4259798,6356735,2068436,4850392,3144982,2704854
8WMY#AR#2021-02-17T21:14:14Z,8WMY,2021-02-17T21:14:14Z,AR,3054618,7639721,5400559,1379966,4146456,2911505,2818749,9100450,6718578,5729089
90IA#AR#2021-02-17T10:24:54Z,90IA,2021-02-17T10:24:54Z,AR,6640668,8600598,9354905,9071046,9607196,5987468,8208854,1934407,6321039,351461
90PO#AR#2021-02-17T19:16:03Z,90PO,2021-02-17T19:16:03Z,AR,572773,5714070,9808074,7140122,3955696,2284272,1445809,9725541,9541245,1445279
90O5#AR#2021-02-17T20:29:09Z,90O5,2021-02-17T20:29:09Z,AR,9783186,6380965,497401,9572170,3422282,9072446,9612041,3950557,6634859,9959073
90N0#AR#2021-02-17T05:17:25Z,90N0,2021-02-17T05:17:25Z,AR,2476954,6119086,2156047,9162045,8639866,5463765,8893674,612970,2749133,8567083
909E#AR#2021-02-17T15:53:55Z,909E,2021-02-17T15:53:55Z,AR,2806471,5721054,9758064,9506545,6665561,5542533,9139208,6250053,3383261,3115639
8W7B#AR#2021-02-17T10:57:21Z,8W7B,2021-02-17T10:57:21Z,AR,5777637,1201685,4890219,5440838,5626957,8326642,2571047,2419800,3449799,6170824
8X66#AR#2021-02-17T08:07:50Z,8X66,2021-02-17T08:07:50Z,AR,4374525,9703069,1265660,3632814,9318938,1169337,8369803,8968481,380695,737730
935T#AR#2021-02-17T23:13:17Z,935T,2021-02-17T23:13:17Z,AR,3212565,7023663,950241,2802345,7073093,9881279,5639766,2488027,8458761,4315660
92WF#AR#2021-02-17T16:05:22Z,92WF,2021-02-17T16:05:22Z,AR,6306389,5155256,8560226,7972655,6284138,8791828,9447928,3716321,9513154,3820359
939G#AR#2021-02-17T12:15:11Z,939G,2021-02-17T12:15:11Z,AR,9497617,7117882,4755390,3747742,8376922,7533632,278580,6864432,1103593,7851596
